Published date,Title,Summary,Link
2020-11-13T21:13:30+00:00,"Gillibrand says Biden will be ""reinventing the wheel"" with government's COVID response","The New York senator said that it was ""problematic"" that the formal presidential transition process has not yet begun.",https://www.cbsnews.com/news/gillibrand-says-biden-will-be-reinventing-the-wheel-with-governments-covid-response/
2020-11-13T21:07:16Z,US election live: China congratulates Joe Biden on victory over Donald Trump,Welcome to our live coverage of the continued fallout from the US election.,https://www.news.com.au/world/north-america/us-politics/us-election-2020-live-updates-china-congratulates-joe-biden-on-victory-over-donald-trump/live-coverage/6ff11b1a0af8efac0d5356f55ce85439
2020-11-13T21:06:48Z,"U.S. Presidential polls | Biden wins Georgia, solidifies victory with 306 votes","Though Mr. Trump with 232 votes had yet to concede, Biden officials reiterated they were moving ahead with transition efforts regardless.",https://www.thehindu.com/news/international/us-presidential-polls-biden-wins-georgia-solidifies-victory-with-306-votes/article33098416.ece
2020-11-13T21:04:12+00:00,Biden transition team pushes for access to intelligence briefings,President-elect Joe BIden's transition team held a press conference Friday as the Trump administration continues to impede Biden's access to intelligence briefings. CBS News political correspondent Ed O'Keefe joined CBSN with the latest on the transition proc…,https://www.cbsnews.com/video/biden-transition-team-gsa-intelligence-briefings/
2020-11-13T21:01:00Z,"With final states called, Biden's projected Electoral College victory matches Trump's in 2016","Biden is apparent winner in Georgia, NBC News projects, bringing Electoral College vote total to 306",https://www.nbcnews.com/politics/2020-election/final-states-called-biden-s-projected-electoral-college-victory-matches-n1247766
2020-11-13T20:57:06Z,"Pompeo congratulates other countries on elections, refuses to recognize US results - Business Insider",Secretary of State Mike Pompeo just left on a 10-day trip to seven countries with leaders that have congratulated Biden on his 2020 victory.,http://www.businessinsider.com/pompeo-congratulates-other-countries-elections-refuses-to-recognize-us-results-2020-11
2020-11-13T20:57:06Z,"Pompeo congratulates other countries on elections, refuses to recognize US results - Business Insider",Secretary of State Mike Pompeo just left on a 10-day trip to seven countries with leaders that have congratulated Biden on his 2020 victory.,http://uk.businessinsider.com/pompeo-congratulates-other-countries-elections-refuses-to-recognize-us-results-2020-11
2020-11-13T20:48:25+00:00,More than 100 Secret Service officers infected with COVID-19 or quarantining as virus surges across country,The outbreak is reported following the close of a campaign season that featured Trump rallies and lower-profile Biden events prior to Election Day,https://www.usatoday.com/story/news/politics/2020/11/13/coronavirus-more-than-100-secret-service-officers-infected-isolating/6278424002/
2020-11-13T20:45:38Z,The Week in Pictures: Nov. 5 - 12,"Biden supporters celebrate election win, Trump's base remains defiant, and more.",https://www.nbcnews.com/slideshow/week-pictures-virus-rise-push-punishments-n1247628
2020-11-13T20:41:00Z,"YouTube says it wants 'discussion' of election results, even when it's been debunked",YouTube is more hands-off than Facebook or Twitter with videos challenging the election results for President-elect Joe Biden's defeat of President Donald Trump,https://www.nbcnews.com/tech/social-media/youtube-says-it-wants-discussion-election-results-even-when-it-n1247764
2020-11-13T20:30:00Z,Opinion: There is method in Trump’s madness in trying to block Biden,"While Trump is aware he can’t reverse the election verdict, he knows he can profit from his treachery in attempting to do so",https://www.theglobeandmail.com/opinion/article-there-is-method-in-trumps-madness-in-trying-to-block-biden/
2020-11-13T20:26:20Z,Joe Biden wins White House with 306 electoral votes,"Democrat Joe Biden has solidified his victory over Donald Trump in the US election with a win in traditionally Republican-leaning Georgia, putting him at 306 electoral votes, networks have projected.",https://www.rte.ie/news/us-election-2020/2020/1113/1178053-us-election/
2020-11-13T20:07:22.086881Z,Biden's picks for transition team the latest sign of a radically different approach to immigration,"President-elect Joe Biden is months away from taking office, and he hasn’t named his Cabinet yet, but there are already signs from his transition team of the radically different approach to immigration he intends to take once in office.",https://www.foxnews.com/politics/bidens-transition-team-dhs-immigration
2020-11-13T20:05:40Z,"For Stacey Abrams, revenge is a dish best served blue","President-elect Joe Biden is the first Democratic presidential candidate to win Georgia in 28 years, and much of the credit for his showing here is going to someone who wasn't on the ballot: Stacey Abrams.",http://us.cnn.com/2020/11/07/us/stacey-abrams-georgia-voter-suppression-trnd/index.html
2020-11-13T19:55:13Z,Pope Francis congratulates Joe Biden on election win,"Biden reportedly said that he hopes to work with Francis on issues such as climate change, poverty and immigration.",http://www.aljazeera.com/news/2020/11/13/vatican-calling-pope-congratulates-joe-biden-on-election
2020-11-13T19:52:21.2337628Z,Native Americans In Arizona Vote For BIden Amid COVID-19,"“This is us saying: COVID-19 is a monster that has come into our communities and devastated our people, but we’re still going to show up,” one citizen of the Navajo Nation told BuzzFeed News.",https://www.buzzfeednews.com/article/clarissajanlim/native-american-voters-arizona-biden-coronavirus
2020-11-13T19:33:40Z,Biden projected to upset Trump in Georgia | TheHill,"Former Vice President Joe Biden is projected to win the presidential race in Georgia, becoming th...",http://thehill.com/homenews/campaign/524351-biden-upsets-trump-in-georgia
2020-11-13T19:27:12Z,Joe Biden becomes first Democrat in 28 years to win Georgia,"Joe Biden will win Georgia, CNN projected Friday, striking at the heart of what has been a Republican presidential stronghold for nearly three decades. The former vice president is the first Democratic nominee to triumph in Georgia since Bill Clinton did it i…",http://us.cnn.com/2020/11/13/politics/joe-biden-wins-georgia/index.html
2020-11-13T19:23:43Z,Trump to deliver public remarks on COVID-19 vaccine developments today,"President Donald Trump’s refusal to take aggressive action on the pandemic or to co-ordinate with Joe Biden’s team will worsen the effects of the virus, experts worry",https://www.theglobeandmail.com/world/article-trump-says-hell-do-the-right-thing-after-all-votes-are-counted-2/
2020-11-13T19:07:28.0627632Z,Vaccine tsar calls on Trump to allow contact with Biden,Head of Operation Warp Speed warns thousands of lives at stake if project is interrupted,https://www.ft.com/content/1ce353bd-45fb-47f4-861f-3deaa4965b61
