Published date,Title,Summary,Link
2020-11-13T21:01:15+00:00,How Latino voters could swing the Georgia Senate runoffs,"Latino voters will play play a crucial role in determining the fate of the Senate with the upcoming runoff elections in Georgia. Chuck Rocha, a former top adviser for Bernie Sanders' campaign, joined CBSN to discuss how Democrats can reach out to Latinos and …",https://www.cbsnews.com/video/how-latino-voters-could-swing-the-georgia-senate-runoffs/
2020-11-13T19:31:00Z,Michigan Judge Denies Conservative Group's Request to Delay Detroit Election Certification,Judge says allegations of misconduct and voter fraud are ‘incorrect and not credible’,https://www.wsj.com/articles/michigan-judge-denies-conservative-group-s-request-to-delay-detroit-election-certification-11605295879?mod=hp_lead_pos6
2020-11-13T19:23:40Z,Democrats keep winning the popular vote. That worries them.,,https://abcnews.go.com/Politics/wireStory/democrats-winning-popular-vote-worries-74195840
2020-11-13T18:22:00+00:00,2020 Election Live Updates: Biden-Harris transition team to hold press briefing,President-elect Joe Biden picked up 11 more Electoral College votes as CBS News projected he won Arizona.,https://www.cbsnews.com/live-updates/2020-election-live-updates-2020-11-13/
2020-11-13T18:11:43Z,Opinion: What's next for the Trump show?,"While the Trump presidency has led to greater division within the country and a disastrous response to the pandemic, it also allowed Trump to expand his fan base to include 70 million voters and 90 million followers on Twitter, writes Michael D'Antonio.",http://us.cnn.com/2020/11/13/opinions/trump-future-politics-media-empire-dantonio/index.html
2020-11-13T15:31:30+00:00,"GOP leaders: We’ll abide by popular vote, won’t give Michigan to Trump",Donald Trump’s remote path to a second term is more narrow now that GOP lawmakers in Michigan say they won’t appoint the state’s 16 electors contrary to the popular vote. Trump’s best chance of,https://www.bridgemi.com/michigan-government/gop-leaders-well-abide-popular-vote-wont-give-michigan-trump
2020-11-13T12:41:00Z,"Trump Cries Voter Fraud. In Court, His Lawyers Don’t.","Pressed by judges, some attorneys representing Trump back away from claims",https://www.wsj.com/articles/trump-cries-election-fraud-in-court-his-lawyers-dont-11605271267?mod=hp_lead_pos12
2020-11-13T12:37:36.035168Z,US election: Biden extends lead over Trump with Arizona win,A projected win in the usually Republican state takes Joe Biden to 290 electoral college votes.,http://www.bbc.co.uk/news/live/election-us-2020-54932067
2020-09-10T19:00:00Z,Presidential election results: Live map of 2020 electoral votes,"Results of the 2020 U.S. presidential election, including electoral votes between Trump and Biden in each state, and who is winning the popular vote.",https://www.nbcnews.com/politics/2020-elections/president-results
2020-05-28T14:19:42Z,‘It's The End of Hong Kong’: The National Security Law China Just Approved Is The Protest Movement's Worst Nightmare,"The vote, while expected, sparked anger and despair in Hong Kong, where many fear it marks an end to the city’s freedoms.",https://www.vice.com/en_us/article/v7gepy/its-the-end-of-hong-kong-the-national-security-law-china-just-approved-is-the-protest-movements-worst-nightmare
