Published date,Title,Summary,Link
2020-11-14T17:45:29Z,Trump thrills protesting supporters with motorcade drive-by,WASHINGTON (AP) — President Donald Trump delighted supporters gathered near the White House on Saturday with a slow motorcade drive-by through downtown Washington on the way to his Virginia golf...,https://apnews.com/542e7e916e11255d5ddea6e62b6d5c3b
2020-11-14T16:52:21.4970726Z,Pro-Trump supporters descend on DC for 'Million MAGA March' near White House,"Crowds of President Trump supporters are gathering in Washington, D.C., for demonstrations to urge Trump not to concede the presidency to President-elect Joe Biden, and they got an early welcome Saturday morning from Trump himself.",https://www.foxnews.com/politics/pro-trump-supporters-planning-million-maga-march-near-white-house
2020-11-14T16:26:53Z,"WATCH: 'Radical Revolution Changes the World B*tch,"" BLM Protester Shouts to Trump Supporters in DC","BLM protesters confronted Trump supporters at a rally near the Whitehouse and yelled, ""Radical revolution changes the world B*TCH.”",http://www.breitbart.com/politics/2020/11/14/watch-radical-revolution-changes-the-world-btch-blm-protester-shouts-to-trump-supporters-in-dc/
2020-11-14T15:08:49Z,Peter Navarro: White House under 'assumption' of second Trump term - Business Insider,"The White House trade advisor said the election was ""an immaculate deception"" and Joe Biden's presidential plans are ""moot at this point.""",http://www.businessinsider.com/peter-navarro-trump-white-house-ignoring-election-results-2020-11
2020-11-14T15:08:49Z,Peter Navarro: White House under 'assumption' of second Trump term - Business Insider,"The White House trade advisor said the election was ""an immaculate deception"" and Joe Biden's presidential plans are ""moot at this point.""",http://uk.businessinsider.com/peter-navarro-trump-white-house-ignoring-election-results-2020-11
2020-11-14T13:33:31+00:00,White House planning for second Trump term despite defeat: Official,Trump has yet to concede nearly a week after US media announced that his Democratic challenger Joe Biden had defeated him in the November 3 presidential election.,https://www.hindustantimes.com/world-news/white-house-planning-for-second-trump-term-despite-defeat-official/story-uLH7wJ6C0KBcs7IDJAyuGK.html
2020-11-14T13:20:00Z,Trump thrills protesting supporters with motorcade drive-by,US News: WASHINGTON: President Donald Trump delighted supporters gathered near the White House on Saturday with a slow motorcade drive-by through downtown Wash.,http://timesofindia.indiatimes.com/world/us/us-presidential-elections/trump-thrills-protesting-supporters-with-motorcade-drive-by/articleshow/79227320.cms
2020-11-14T12:01:46Z,Trump slipped up and came close to acknowledging Biden's election win - Business Insider,"In his first public remarks since losing the election, Trump appeared to acknowledge that his time in the White House is coming to an end.",http://www.businessinsider.com/president-trump-slipped-up-close-to-acknowledging-biden-election-win-2020-11
2020-11-14T12:01:46Z,Trump slipped up and came close to acknowledging Biden's election win - Business Insider,"In his first public remarks since losing the election, Trump appeared to acknowledge that his time in the White House is coming to an end.",http://uk.businessinsider.com/president-trump-slipped-up-close-to-acknowledging-biden-election-win-2020-11
2020-11-14T12:01:06+00:00,Obama White House Veterans Urge Biden To Embrace Executive Action,President-elect Joe Biden may face divided government that could stall his agenda. Some Democrats say he should actually channel President Trump in taking aggressive executive actions.,https://www.npr.org/2020/11/14/934656049/obama-white-house-veterans-urge-biden-to-embrace-executive-action
